,NKE
2018-12-27,70.99
2018-12-26,68.65
2018-12-24,68.08
2018-12-21,71.25
2018-12-20,66.53
2018-12-19,68.32
2018-12-18,70.43
2018-12-17,69.46
2018-12-14,71.41
2018-12-13,72.59
2018-12-12,73.51
2018-12-11,72.56
2018-12-10,70.61
2018-12-07,72.87
2018-12-06,73.59
2018-12-04,75.41
2018-12-03,76.93
2018-11-30,73.90
2018-11-29,73.32
2018-11-28,72.30
2018-11-27,71.30
2018-11-26,72.27
2018-11-23,71.41
2018-11-21,71.81
2018-11-20,69.52
2018-11-19,71.86
2018-11-16,73.06
2018-11-15,72.89
2018-11-14,74.89
2018-11-13,74.84
2018-11-12,74.99
2018-11-09,75.53
2018-11-08,77.24
2018-11-07,76.57
2018-11-06,76.36
2018-11-05,76.05
2018-11-02,75.71
2018-11-01,74.84
2018-10-31,74.92
2018-10-30,72.81
2018-10-29,71.39
2018-10-26,70.69
2018-10-25,72.23
2018-10-24,71.95
2018-10-23,72.07
2018-10-22,74.30
2018-10-19,74.14
2018-10-18,75.00
2018-10-17,75.94
2018-10-16,75.32
2018-10-15,74.97
2018-10-12,74.91
2018-10-11,73.90
2018-10-10,74.77
2018-10-09,80.16
2018-10-08,79.08
2018-10-05,79.43
2018-10-04,80.02
2018-10-03,81.75
2018-10-02,82.50
2018-10-01,84.37
2018-09-28,84.25
2018-09-27,83.73
2018-09-26,81.95
2018-09-25,84.07
2018-09-24,84.25
2018-09-21,85.01
2018-09-20,84.93
2018-09-19,84.12
2018-09-18,83.24
2018-09-17,82.94
2018-09-14,83.06
2018-09-13,83.12
2018-09-12,82.04
2018-09-11,82.55
2018-09-10,81.22
2018-09-07,80.01
2018-09-06,79.77
2018-09-05,79.30
2018-09-04,79.00
2018-08-31,81.25
2018-08-30,81.01
2018-08-29,82.22
2018-08-28,82.48
2018-08-27,82.23
2018-08-24,82.10
2018-08-23,82.34
2018-08-22,82.28
2018-08-21,82.02
2018-08-20,80.95
2018-08-17,79.68
2018-08-16,79.80
2018-08-15,79.12
2018-08-14,79.68
2018-08-13,80.01
2018-08-10,80.29
2018-08-09,80.41
2018-08-08,80.04
2018-08-07,79.27
2018-08-06,78.43
2018-08-03,78.44
2018-08-02,77.40
2018-08-01,76.50
