,DKS
2019-06-21,33.61
2019-06-20,33.14
2019-06-19,33.20
2019-06-18,33.63
2019-06-17,33.79
2019-06-14,33.17
2019-06-13,33.35
2019-06-12,33.89
2019-06-11,34.74
2019-06-10,34.92
2019-06-07,34.92
2019-06-06,35.39
2019-06-05,35.58
2019-06-04,36.02
2019-06-03,34.35
2019-05-31,33.34
2019-05-30,33.51
2019-05-29,33.11
2019-05-28,35.68
2019-05-24,36.05
2019-05-23,36.33
2019-05-22,36.48
2019-05-21,36.40
2019-05-20,35.88
2019-05-17,35.78
2019-05-16,35.93
2019-05-15,35.20
2019-05-14,35.17
2019-05-13,35.13
2019-05-10,35.59
2019-05-09,35.59
2019-05-08,35.26
2019-05-07,35.75
2019-05-06,35.78
2019-05-03,35.92
2019-05-02,35.40
2019-05-01,35.85
2019-04-30,36.97
2019-04-29,37.71
2019-04-26,37.69
2019-04-25,38.00
2019-04-24,38.63
2019-04-23,37.93
2019-04-22,37.89
2019-04-18,38.84
2019-04-17,39.56
2019-04-16,39.46
2019-04-15,39.58
2019-04-12,40.29
2019-04-11,40.57
2019-04-10,40.37
2019-04-09,40.23
2019-04-08,39.90
2019-04-05,39.74
2019-04-04,37.87
2019-04-03,38.13
2019-04-02,37.43
2019-04-01,36.78
2019-03-29,36.23
2019-03-28,36.22
2019-03-27,35.71
2019-03-26,34.66
2019-03-25,34.13
2019-03-22,34.34
2019-03-21,34.26
2019-03-20,34.21
2019-03-19,34.68
2019-03-18,33.71
2019-03-15,33.90
2019-03-14,34.88
2019-03-13,34.49
2019-03-12,34.10
2019-03-11,37.76
2019-03-08,37.17
2019-03-07,37.54
2019-03-06,38.09
2019-03-05,37.84
2019-03-04,37.74
2019-03-01,38.78
2019-02-28,38.83
2019-02-27,38.47
2019-02-26,37.72
2019-02-25,37.59
2019-02-22,37.68
2019-02-21,37.71
2019-02-20,37.64
2019-02-19,37.25
2019-02-15,36.47
2019-02-14,35.60
2019-02-13,36.33
2019-02-12,35.51
2019-02-11,35.02
2019-02-08,35.14
2019-02-07,34.93
2019-02-06,36.12
2019-02-05,35.33
2019-02-04,34.88
2019-02-01,34.34
2019-01-31,34.53
2019-01-30,34.52
2019-01-29,34.56
2019-01-28,34.17
2019-01-25,34.34
2019-01-24,33.42
2019-01-23,33.35
2019-01-22,33.59
2019-01-18,33.46
2019-01-17,32.40
2019-01-16,32.64
2019-01-15,33.51
2019-01-14,33.00
2019-01-11,32.79
2019-01-10,32.49
2019-01-09,32.93
2019-01-08,32.00
2019-01-07,32.73
2019-01-04,32.19
2019-01-03,31.23
2019-01-02,30.59
2018-12-31,30.95
2018-12-28,30.77
2018-12-27,29.98
2018-12-26,29.98
2018-12-24,29.69
2018-12-21,30.18
2018-12-20,30.91
2018-12-19,32.27
2018-12-18,33.06
2018-12-17,33.17
2018-12-14,33.65
2018-12-13,33.95
2018-12-12,35.19
2018-12-11,36.26
2018-12-10,35.99
2018-12-07,35.55
2018-12-06,35.00
2018-12-04,35.70
2018-12-03,35.67
2018-11-30,34.97
2018-11-29,34.08
2018-11-28,34.90
2018-11-27,35.26
2018-11-26,35.04
2018-11-23,34.62
2018-11-21,34.36
2018-11-20,33.86
2018-11-19,35.30
2018-11-16,36.27
2018-11-15,36.98
2018-11-14,37.23
2018-11-13,37.24
2018-11-12,36.95
2018-11-09,36.85
2018-11-08,36.74
2018-11-07,35.88
2018-11-06,37.19
2018-11-05,36.39
2018-11-02,35.88
2018-11-01,34.67
2018-10-31,34.73
2018-10-30,34.76
2018-10-29,33.43
2018-10-26,32.30
2018-10-25,32.32
2018-10-24,33.11
2018-10-23,32.74
2018-10-22,33.35
2018-10-19,33.74
2018-10-18,33.59
2018-10-17,33.29
2018-10-16,33.66
2018-10-15,33.12
2018-10-12,33.19
2018-10-11,33.24
2018-10-10,33.35
2018-10-09,33.42
2018-10-08,32.86
2018-10-05,32.65
2018-10-04,33.26
2018-10-03,33.89
2018-10-02,34.13
2018-10-01,34.97
2018-09-28,35.24
2018-09-27,35.60
2018-09-26,35.83
2018-09-25,36.35
2018-09-24,36.65
2018-09-21,37.14
2018-09-20,36.45
2018-09-19,37.03
2018-09-18,36.58
2018-09-17,36.29
2018-09-14,36.46
2018-09-13,36.96
2018-09-12,37.95
2018-09-11,38.75
2018-09-10,38.20
2018-09-07,37.68
2018-09-06,38.27
2018-09-05,38.26
2018-09-04,37.34
2018-08-31,36.08
2018-08-30,35.27
2018-08-29,32.75
2018-08-28,36.09
2018-08-27,35.63
2018-08-24,35.51
2018-08-23,37.58
2018-08-22,37.53
2018-08-21,37.33
2018-08-20,37.18
2018-08-17,36.32
2018-08-16,35.69
2018-08-15,35.41
2018-08-14,34.49
2018-08-13,34.41
2018-08-10,34.14
2018-08-09,33.68
2018-08-08,33.56
2018-08-07,34.08
2018-08-06,33.39
2018-08-03,33.05
2018-08-02,32.99
2018-08-01,33.09
2018-07-31,33.29
2018-07-30,32.95
2018-07-27,32.91
2018-07-26,33.61
2018-07-25,33.15
2018-07-24,33.57
2018-07-23,34.78
2018-07-20,34.93
2018-07-19,34.34
2018-07-18,33.99
2018-07-17,33.58
2018-07-16,33.57
2018-07-13,34.42
2018-07-12,33.95
2018-07-11,33.92
2018-07-10,34.20
2018-07-09,34.03
2018-07-06,33.90
2018-07-05,34.66
2018-07-03,35.12
