,ASCCF
2019-03-21,12.90
2019-03-20,15.50
2019-03-19,15.50
2019-03-18,15.50
2019-03-15,15.50
2019-03-14,15.50
2019-03-13,15.50
2019-03-12,15.50
2019-03-11,15.50
2019-03-08,15.50
2019-03-07,15.50
2019-03-06,15.50
2019-03-05,15.50
2019-03-04,15.50
2019-03-01,15.50
2019-02-28,15.50
2019-02-27,15.50
2019-02-26,15.50
2019-02-25,15.50
2019-02-22,15.50
2019-02-21,15.50
2019-02-20,15.50
2019-02-19,15.50
2019-02-15,15.50
2019-02-14,15.50
2019-02-13,15.50
2019-02-12,15.50
2019-02-11,15.50
2019-02-08,15.50
2019-02-07,15.50
2019-02-06,15.50
2019-02-05,15.50
2019-02-04,13.75
2019-02-01,13.75
2019-01-31,13.75
2019-01-30,13.75
2019-01-29,13.75
2019-01-28,13.75
2019-01-25,13.75
2019-01-24,13.75
2019-01-23,13.75
2019-01-22,13.75
2019-01-18,13.75
2019-01-17,13.75
2019-01-16,13.75
2019-01-15,13.75
2019-01-14,13.75
2019-01-11,13.20
2019-01-10,13.20
2019-01-09,13.20
2019-01-08,13.20
2019-01-07,13.20
2019-01-04,13.20
2019-01-03,13.20
2019-01-02,13.20
2018-12-31,13.20
2018-12-28,13.20
2018-12-27,13.20
2018-12-26,13.20
2018-12-24,13.20
2018-12-21,13.20
2018-12-20,13.20
2018-12-19,13.20
2018-12-18,13.20
2018-12-17,13.20
2018-12-14,13.20
2018-12-13,13.20
2018-12-12,13.20
2018-12-11,13.20
2018-12-10,13.20
2018-12-07,13.20
2018-12-06,13.20
2018-12-04,13.20
2018-12-03,13.20
2018-11-30,13.20
2018-11-29,13.20
2018-11-28,13.20
2018-11-27,13.20
2018-11-26,13.20
2018-11-23,13.20
2018-11-21,13.20
2018-11-20,13.90
2018-11-19,13.90
2018-11-16,13.90
2018-11-15,12.65
2018-11-14,12.65
2018-11-13,12.65
2018-11-12,12.65
2018-11-09,12.65
2018-11-08,12.65
2018-11-07,12.65
2018-11-06,12.65
2018-11-05,12.65
2018-11-02,16.50
2018-11-01,16.50
2018-10-31,16.50
2018-10-30,16.50
2018-10-29,16.50
2018-10-26,16.50
2018-10-25,16.50
2018-10-24,16.50
2018-10-23,16.50
2018-10-22,16.50
2018-10-19,16.50
2018-10-18,16.50
2018-10-17,16.50
2018-10-16,16.50
2018-10-15,16.50
2018-10-12,16.50
2018-10-11,16.50
2018-10-10,16.50
2018-10-09,16.50
2018-10-08,16.50
2018-10-05,16.50
2018-10-04,16.50
2018-10-03,16.50
2018-10-02,16.50
2018-10-01,16.50
2018-09-28,16.50
2018-09-27,16.50
2018-09-26,16.50
2018-09-25,16.50
2018-09-24,16.50
2018-09-21,16.50
2018-09-20,16.50
2018-09-19,16.50
2018-09-18,16.50
2018-09-17,16.50
2018-09-14,16.50
2018-09-13,16.50
2018-09-12,16.50
2018-09-11,16.50
2018-09-10,16.50
2018-09-07,16.50
2018-09-06,16.50
2018-09-05,16.50
2018-09-04,16.50
2018-08-31,16.50
2018-08-30,16.50
2018-08-29,16.50
