,VFC
2019-08-08,81.93
2019-08-07,80.00
2019-08-06,80.39
2019-08-05,79.97
2019-08-02,82.32
2019-08-01,82.23
2019-07-31,86.72
2019-07-30,86.77
2019-07-29,87.47
2019-07-26,88.45
2019-07-25,88.20
2019-07-24,86.44
2019-07-23,86.96
2019-07-22,86.83
2019-07-19,87.28
2019-07-18,86.19
2019-07-17,86.35
2019-07-16,88.12
2019-07-15,87.79
2019-07-12,88.26
2019-07-11,86.59
2019-07-10,86.43
2019-07-09,86.58
2019-07-08,86.21
2019-07-05,86.89
2019-07-03,86.91
2019-07-02,86.40
2019-07-01,87.69
2019-06-28,86.71
2019-06-27,85.81
2019-06-26,85.42
2019-06-25,85.33
2019-06-24,87.70
2019-06-21,88.01
2019-06-20,88.16
2019-06-19,87.91
2019-06-18,87.50
2019-06-17,87.08
2019-06-14,86.33
2019-06-13,85.48
2019-06-12,84.66
2019-06-11,85.35
2019-06-10,85.24
2019-06-07,84.03
2019-06-06,83.96
2019-06-05,84.58
2019-06-04,83.42
2019-06-03,81.55
2019-05-31,80.76
2019-05-30,81.05
2019-05-29,81.16
2019-05-28,82.68
2019-05-24,83.29
2019-05-23,83.52
2019-05-22,80.47
2019-05-21,85.01
2019-05-20,84.45
2019-05-17,85.27
2019-05-16,85.54
2019-05-15,84.07
2019-05-14,83.93
2019-05-13,84.62
2019-05-10,85.77
2019-05-09,87.03
2019-05-08,87.66
2019-05-07,87.50
2019-05-06,87.78
2019-05-03,88.78
2019-05-02,87.55
2019-05-01,87.55
2019-04-30,88.15
2019-04-29,88.38
2019-04-26,87.59
2019-04-25,88.01
2019-04-24,88.52
2019-04-23,88.31
2019-04-22,88.96
2019-04-18,89.04
2019-04-17,87.96
2019-04-16,85.72
2019-04-15,85.41
2019-04-12,84.10
2019-04-11,83.70
2019-04-10,83.48
2019-04-09,83.31
2019-04-08,83.68
2019-04-05,83.68
2019-04-04,82.36
2019-04-03,81.79
2019-04-02,81.26
2019-04-01,81.69
2019-03-29,81.43
2019-03-28,81.72
2019-03-27,79.65
2019-03-26,79.61
2019-03-25,78.46
2019-03-22,78.82
2019-03-21,79.79
2019-03-20,79.66
2019-03-19,80.84
2019-03-18,79.69
2019-03-15,79.03
2019-03-14,79.43
2019-03-13,79.58
2019-03-12,79.55
2019-03-11,79.39
2019-03-08,77.94
2019-03-07,79.34
2019-03-06,80.07
2019-03-05,80.48
2019-03-04,80.62
2019-03-01,81.58
2019-02-28,82.08
2019-02-27,81.66
2019-02-26,81.86
2019-02-25,81.48
2019-02-22,81.18
2019-02-21,80.56
2019-02-20,81.01
2019-02-19,81.01
2019-02-15,81.44
2019-02-14,80.01
2019-02-13,81.01
2019-02-12,80.59
2019-02-11,80.27
2019-02-08,80.48
2019-02-07,80.03
2019-02-06,80.04
2019-02-05,80.37
2019-02-04,78.66
2019-02-01,78.24
2019-01-31,78.60
2019-01-30,78.64
2019-01-29,78.45
2019-01-28,77.66
2019-01-25,78.45
2019-01-24,77.31
2019-01-23,76.86
2019-01-22,76.38
2019-01-18,75.33
2019-01-17,67.40
2019-01-16,67.21
2019-01-15,67.24
2019-01-14,66.17
2019-01-11,66.95
2019-01-10,68.22
2019-01-09,70.07
2019-01-08,68.79
2019-01-07,67.41
2019-01-04,65.90
2019-01-03,65.04
2019-01-02,65.50
2018-12-31,66.44
2018-12-28,65.77
2018-12-27,63.87
2018-12-26,63.26
2018-12-24,63.39
2018-12-21,65.18
2018-12-20,65.16
2018-12-19,67.21
2018-12-18,68.89
2018-12-17,68.35
2018-12-14,70.49
2018-12-13,71.42
2018-12-12,72.10
2018-12-11,71.26
2018-12-10,70.53
2018-12-07,70.93
2018-12-06,72.83
2018-12-04,75.46
2018-12-03,77.43
2018-11-30,74.17
2018-11-29,73.95
2018-11-28,74.32
2018-11-27,73.75
2018-11-26,75.02
2018-11-23,74.02
2018-11-21,73.97
2018-11-20,73.24
2018-11-19,74.69
2018-11-16,77.10
2018-11-15,76.83
2018-11-14,78.66
2018-11-13,78.25
2018-11-12,78.52
2018-11-09,78.97
2018-11-08,79.80
2018-11-07,79.76
2018-11-06,79.56
2018-11-05,79.56
2018-11-02,79.09
2018-11-01,77.49
2018-10-31,78.00
2018-10-30,76.19
2018-10-29,75.66
2018-10-26,73.11
2018-10-25,72.89
2018-10-24,72.58
2018-10-23,71.02
2018-10-22,72.19
2018-10-19,73.19
2018-10-18,81.41
2018-10-17,83.30
2018-10-16,82.59
2018-10-15,81.92
2018-10-12,81.52
2018-10-11,79.74
2018-10-10,81.10
2018-10-09,86.62
2018-10-08,85.30
2018-10-05,85.29
2018-10-04,85.83
2018-10-03,87.86
2018-10-02,87.46
2018-10-01,87.87
2018-09-28,87.57
2018-09-27,87.19
2018-09-26,85.28
2018-09-25,85.52
2018-09-24,85.57
2018-09-21,86.50
2018-09-20,86.02
2018-09-19,85.89
2018-09-18,86.54
2018-09-17,85.41
2018-09-14,85.45
2018-09-13,84.62
2018-09-12,84.08
2018-09-11,84.60
2018-09-10,84.28
2018-09-07,84.11
2018-09-06,85.78
2018-09-05,84.97
2018-09-04,86.00
2018-08-31,85.97
2018-08-30,85.53
2018-08-29,87.16
2018-08-28,87.16
2018-08-27,86.47
2018-08-24,85.79
2018-08-23,85.69
2018-08-22,86.30
2018-08-21,86.77
2018-08-20,86.34
2018-08-17,85.70
2018-08-16,85.66
2018-08-15,86.69
2018-08-14,87.19
2018-08-13,85.94
2018-08-10,89.69
2018-08-09,89.15
2018-08-08,88.44
2018-08-07,87.87
2018-08-06,86.56
2018-08-03,86.45
2018-08-02,85.52
2018-08-01,85.59
2018-07-31,85.95
2018-07-30,85.86
2018-07-27,86.48
2018-07-26,86.93
2018-07-25,85.17
2018-07-24,86.06
2018-07-23,86.56
2018-07-20,85.70
2018-07-19,82.98
2018-07-18,82.64
2018-07-17,82.86
2018-07-16,81.37
2018-07-13,79.55
2018-07-12,78.28
2018-07-11,77.07
2018-07-10,77.27
2018-07-09,77.11
2018-07-06,76.16
2018-07-05,75.94
2018-07-03,76.45
