,NZDUSD
2020-04-08,0.5943
2020-04-07,0.5937
2020-04-06,0.5852
2020-04-03,0.5845
2020-04-02,0.5882
2020-04-01,0.5883
2020-03-31,0.5922
2020-03-30,0.5988
2020-03-27,0.5914
2020-03-26,0.5780
2020-03-25,0.5792
2020-03-24,0.5738
2020-03-23,0.5598
2020-03-20,0.5650
2020-03-19,0.5479
2020-03-18,0.5770
2020-03-17,0.5934
2020-03-16,0.5989
2020-03-13,0.6049
2020-03-12,0.6095
2020-03-11,0.6260
2020-03-10,0.6263
2020-03-09,0.6045
2020-03-06,0.6296
2020-03-05,0.6283
2020-03-04,0.6273
2020-03-03,0.6248
2020-03-02,0.6205
2020-02-28,0.6200
2020-02-27,0.6285
2020-02-26,0.6294
2020-02-25,0.6312
2020-02-24,0.6305
2020-02-21,0.6305
2020-02-20,0.6327
2020-02-19,0.6374
2020-02-18,0.6384
2020-02-17,0.6421
2020-02-14,0.6424
2020-02-13,0.6442
2020-02-12,0.6405
2020-02-11,0.6380
2020-02-10,0.6383
2020-02-07,0.6404
2020-02-06,0.6455
2020-02-05,0.6474
2020-02-04,0.6451
2020-02-03,0.6455
2020-01-31,0.6455
2020-01-30,0.6487
2020-01-29,0.6509
2020-01-28,0.6522
2020-01-27,0.6547
2020-01-24,0.6600
2020-01-23,0.6582
2020-01-22,0.6583
2020-01-21,0.6590
2020-01-20,0.6594
2020-01-17,0.6608
2020-01-16,0.6619
2020-01-15,0.6587
2020-01-14,0.6605
2020-01-13,0.6622
2020-01-10,0.6603
2020-01-09,0.6601
2020-01-08,0.6619
2020-01-07,0.6627
2020-01-06,0.6646
2020-01-03,0.6646
2020-01-02,0.6687
2020-01-01,0.6723
2019-12-31,0.6721
2019-12-30,0.6706
2019-12-27,0.6668
2019-12-26,0.6642
2019-12-25,0.6632
2019-12-24,0.6624
2019-12-23,0.6602
2019-12-20,0.6591
2019-12-19,0.6574
2019-12-18,0.6555
2019-12-17,0.6566
2019-12-16,0.6591
2019-12-13,0.6585
2019-12-12,0.6576
2019-12-11,0.6524
2019-12-10,0.6530
2019-12-09,0.6550
2019-12-06,0.6542
2019-12-05,0.6522
2019-12-04,0.6505
2019-12-03,0.6498
2019-12-02,0.6433
2019-11-29,0.6410
2019-11-28,0.6410
2019-11-27,0.6415
2019-11-26,0.6407
2019-11-25,0.6396
2019-11-22,0.6400
2019-11-21,0.6399
2019-11-20,0.6406
2019-11-19,0.6383
2019-11-18,0.6392
2019-11-15,0.6373
2019-11-14,0.6366
2019-11-13,0.6332
2019-11-12,0.6326
2019-11-11,0.6333
2019-11-08,0.6323
2019-11-07,0.6344
2019-11-06,0.6362
2019-11-05,0.6373
2019-11-04,0.6413
2019-11-01,0.6408
2019-10-31,0.6393
2019-10-30,0.6343
2019-10-29,0.6341
2019-10-28,0.6335
2019-10-25,0.6357
2019-10-24,0.6376
2019-10-23,0.6387
2019-10-22,0.6408
2019-10-21,0.6385
2019-10-18,0.6355
2019-10-17,0.6285
2019-10-16,0.6244
2019-10-15,0.6260
2019-10-14,0.6282
2019-10-11,0.6318
2019-10-10,0.6286
2019-10-09,0.6299
2019-10-08,0.6289
2019-10-07,0.6285
