,RCI
2020-12-23,45.84
2020-12-22,45.64
2020-12-21,45.35
2020-12-18,46.29
2020-12-17,46.39
2020-12-16,46.78
2020-12-15,46.86
2020-12-14,46.98
2020-12-11,47.05
2020-12-10,47.14
2020-12-09,46.68
2020-12-08,46.50
2020-12-07,47.00
2020-12-04,47.47
2020-12-03,46.47
2020-12-02,46.23
2020-12-01,46.03
2020-11-30,46.60
2020-11-27,46.64
2020-11-25,46.42
2020-11-24,45.90
2020-11-23,45.42
2020-11-20,45.28
2020-11-19,45.01
2020-11-18,45.18
2020-11-17,45.74
2020-11-16,45.94
2020-11-13,45.53
2020-11-12,45.60
2020-11-11,45.65
2020-11-10,43.83
2020-11-09,43.43
2020-11-06,42.42
2020-11-05,42.30
2020-11-04,40.93
2020-11-03,41.27
2020-11-02,40.58
2020-10-30,40.25
2020-10-29,40.76
2020-10-28,41.30
2020-10-27,42.47
2020-10-26,42.76
2020-10-23,43.78
2020-10-22,41.87
2020-10-21,39.76
2020-10-20,39.75
2020-10-19,39.87
2020-10-16,40.58
2020-10-15,40.15
2020-10-14,40.30
2020-10-13,41.11
2020-10-12,40.81
2020-10-09,40.68
2020-10-08,40.38
2020-10-07,39.50
2020-10-06,39.42
2020-10-05,39.73
2020-10-02,39.26
2020-10-01,39.46
2020-09-30,39.51
2020-09-29,39.15
2020-09-28,38.99
2020-09-25,38.11
2020-09-24,37.84
2020-09-23,38.08
2020-09-22,38.64
2020-09-21,38.10
2020-09-18,39.22
2020-09-17,39.85
2020-09-16,40.48
2020-09-15,40.61
2020-09-14,40.41
2020-09-11,40.38
2020-09-10,40.86
2020-09-09,42.05
2020-09-08,41.58
2020-09-04,42.48
2020-09-03,42.63
2020-09-02,42.33
2020-09-01,40.97
2020-08-31,41.58
2020-08-28,42.17
2020-08-27,42.39
2020-08-26,42.01
2020-08-25,42.13
2020-08-24,42.19
2020-08-21,41.76
2020-08-20,41.96
2020-08-19,42.16
2020-08-18,42.18
2020-08-17,41.92
2020-08-14,41.69
2020-08-13,41.68
2020-08-12,41.71
2020-08-11,41.65
2020-08-10,41.05
2020-08-07,41.10
2020-08-06,41.32
2020-08-05,41.71
2020-08-04,40.90
2020-08-03,40.80
2020-07-31,40.55
2020-07-30,40.29
2020-07-29,40.56
2020-07-28,40.79
2020-07-27,40.21
2020-07-24,40.48
2020-07-23,40.94
2020-07-22,39.15
2020-07-21,41.11
2020-07-20,40.96
2020-07-17,41.73
2020-07-16,40.97
2020-07-15,40.61
2020-07-14,39.62
2020-07-13,39.49
2020-07-10,38.86
2020-07-09,38.33
2020-07-08,38.98
2020-07-07,40.14
2020-07-06,40.36
2020-07-02,40.34
2020-07-01,39.88
2020-06-30,40.08
2020-06-29,39.69
2020-06-26,39.58
2020-06-25,40.04
2020-06-24,40.12
2020-06-23,41.06
2020-06-22,41.31
2020-06-19,41.55
2020-06-18,41.60
2020-06-17,41.93
2020-06-16,42.46
2020-06-15,42.34
2020-06-12,42.92
2020-06-11,42.74
2020-06-10,43.75
2020-06-09,43.35
2020-06-08,43.71
2020-06-05,43.62
2020-06-04,42.15
2020-06-03,42.49
2020-06-02,41.78
2020-06-01,41.51
2020-05-29,41.26
2020-05-28,41.42
2020-05-27,41.25
2020-05-26,40.08
2020-05-22,38.91
2020-05-21,39.53
2020-05-20,39.84
2020-05-19,39.74
2020-05-18,39.64
2020-05-15,38.70
2020-05-14,38.32
2020-05-13,39.37
2020-05-12,40.43
2020-05-11,40.26
2020-05-08,40.68
2020-05-07,40.36
2020-05-06,40.42
2020-05-05,40.67
2020-05-04,40.21
2020-05-01,40.94
2020-04-30,41.61
2020-04-29,42.56
2020-04-28,41.46
2020-04-27,40.85
2020-04-24,40.61
2020-04-23,40.49
2020-04-22,39.56
2020-04-21,40.68
2020-04-20,41.92
2020-04-17,41.95
2020-04-16,41.31
2020-04-15,42.03
2020-04-14,43.13
2020-04-13,42.65
2020-04-09,42.86
2020-04-08,43.02
2020-04-07,44.27
2020-04-06,42.08
2020-04-03,40.79
2020-04-02,40.65
2020-04-01,39.95
2020-03-31,39.94
2020-03-30,38.13
2020-03-27,37.94
2020-03-26,38.40
2020-03-25,36.20
2020-03-24,33.40
2020-03-23,32.20
2020-03-20,37.45
2020-03-19,37.51
2020-03-18,36.81
2020-03-17,40.09
2020-03-16,37.00
2020-03-13,37.82
2020-03-12,36.64
2020-03-11,43.07
2020-03-10,43.11
2020-03-09,43.12
2020-03-06,45.91
2020-03-05,47.27
2020-03-04,47.96
2020-03-03,47.52
2020-03-02,45.73
2020-02-28,45.58
2020-02-27,47.46
2020-02-26,48.21
2020-02-25,48.18
2020-02-24,48.45
2020-02-21,49.14
2020-02-20,49.64
2020-02-19,49.88
2020-02-18,49.49
2020-02-14,49.24
2020-02-13,49.36
2020-02-12,49.57
2020-02-11,49.55
2020-02-10,49.50
2020-02-07,49.89
2020-02-06,49.93
2020-02-05,49.61
2020-02-04,49.87
2020-02-03,49.70
2020-01-31,49.56
2020-01-30,49.82
2020-01-29,50.12
2020-01-28,50.37
