,HGLD
2021-04-06,0.0687
2021-04-05,0.0600
2021-04-01,0.0766
2021-03-31,0.0766
2021-03-30,0.0620
2021-03-29,0.0700
2021-03-26,0.0724
2021-03-25,0.0847
2021-03-24,0.0686
2021-03-23,0.0789
2021-03-22,0.0211
2021-03-19,0.0888
2021-03-18,0.0669
2021-03-17,0.0891
2021-03-16,0.0891
2021-03-15,0.0891
2021-03-12,0.0768
2021-03-11,0.0807
2021-03-10,0.0761
2021-03-09,0.0760
2021-03-08,0.0620
2021-03-05,0.0424
2021-03-04,0.0761
2021-03-03,0.0211
2021-03-02,0.0801
2021-03-01,0.0840
2021-02-26,0.0211
2021-02-25,0.0800
2021-02-24,0.0800
2021-02-23,0.0800
2021-02-22,0.0800
2021-02-19,0.0800
2021-02-18,0.0877
2021-02-17,0.0800
2021-02-16,0.0800
2021-02-12,0.0816
2021-02-11,0.0956
2021-02-10,0.0817
2021-02-09,0.0860
2021-02-08,0.0860
2021-02-05,0.0910
2021-02-04,0.0211
2021-02-03,0.0978
2021-02-02,0.1026
2021-02-01,0.0809
2021-01-29,0.0910
2021-01-28,0.0909
2021-01-27,0.0909
2021-01-26,0.0994
2021-01-25,0.0772
2021-01-22,0.0899
2021-01-21,0.0899
2021-01-20,0.0820
2021-01-19,0.0813
2021-01-15,0.0853
2021-01-14,0.0741
2021-01-13,0.0914
2021-01-12,0.0914
2021-01-11,0.0954
2021-01-08,0.0210
2021-01-07,0.0959
2021-01-06,0.0161
2021-01-05,0.0900
2021-01-04,0.0985
2020-12-31,0.0110
2020-12-30,0.0986
2020-12-29,0.0874
2020-12-28,0.0110
2020-12-24,0.0985
2020-12-23,0.0985
2020-12-22,0.0700
2020-12-21,0.0805
2020-12-18,0.0900
2020-12-17,0.0860
2020-12-16,0.0989
2020-12-15,0.0989
2020-12-14,0.0892
2020-12-11,0.0836
2020-12-10,0.0812
2020-12-09,0.0950
2020-12-08,0.1143
2020-12-07,0.0927
2020-12-04,0.1067
2020-12-03,0.1176
2020-12-02,0.0955
2020-12-01,0.1168
2020-11-30,0.0952
2020-11-27,0.1166
2020-11-25,0.1166
2020-11-24,0.1119
2020-11-23,0.1119
2020-11-20,0.0990
2020-11-19,0.0995
2020-11-18,0.1120
2020-11-17,0.1100
2020-11-16,0.0810
2020-11-13,0.1000
2020-11-12,0.1380
2020-11-11,0.1380
2020-11-10,0.1380
2020-11-09,0.0900
2020-11-06,0.1460
2020-11-05,0.1177
2020-11-04,0.1100
2020-11-03,0.1100
2020-11-02,0.0810
2020-10-30,0.0987
2020-10-29,0.0990
2020-10-28,0.0930
2020-10-27,0.1337
2020-10-26,0.1198
2020-10-23,0.1320
2020-10-22,0.1225
2020-10-21,0.0810
2020-10-20,0.1140
2020-10-19,0.1000
2020-10-16,0.1261
2020-10-15,0.1183
2020-10-14,0.1091
2020-10-13,0.1116
2020-10-12,0.1200
2020-10-09,0.0960
2020-10-08,0.0810
2020-10-07,0.0930
2020-10-06,0.1030
2020-10-05,0.0825
2020-10-02,0.0801
2020-10-01,0.1036
2020-09-30,0.0859
2020-09-29,0.0950
2020-09-28,0.0735
2020-09-25,0.0890
2020-09-24,0.0950
2020-09-23,0.1094
2020-09-22,0.1000
2020-09-21,0.1050
2020-09-18,0.1099
2020-09-17,0.0951
2020-09-16,0.0951
2020-09-15,0.0938
2020-09-14,0.0970
2020-09-11,0.1220
2020-09-10,0.1190
2020-09-09,0.1100
2020-09-08,0.0948
2020-09-04,0.1100
2020-09-03,0.0977
2020-09-02,0.1200
2020-09-01,0.1284
2020-08-31,0.1099
2020-08-28,0.1106
2020-08-27,0.1070
2020-08-26,0.1070
2020-08-25,0.1070
2020-08-24,0.0900
2020-08-21,0.1140
2020-08-20,0.1258
2020-08-19,0.1167
2020-08-18,0.1366
2020-08-17,0.1080
2020-08-14,0.1006
2020-08-13,0.1182
2020-08-12,0.0800
2020-08-11,0.1256
2020-08-10,0.1256
2020-08-07,0.1400
2020-08-06,0.1179
2020-08-05,0.1100
2020-08-04,0.0770
2020-08-03,0.0954
2020-07-31,0.0850
2020-07-30,0.0869
2020-07-29,0.0935
2020-07-28,0.0800
2020-07-27,0.0921
2020-07-24,0.0780
2020-07-23,0.0848
2020-07-22,0.0751
2020-07-21,0.0800
2020-07-20,0.0812
2020-07-17,0.0834
2020-07-16,0.0865
2020-07-15,0.0852
2020-07-14,0.0821
2020-07-13,0.0687
2020-07-10,0.0685
2020-07-09,0.0778
2020-07-08,0.0778
2020-07-07,0.0505
2020-07-06,0.0393
2020-07-02,0.0410
2020-07-01,0.0400
2020-06-30,0.0400
2020-06-29,0.0400
2020-06-26,0.0424
2020-06-25,0.0424
2020-06-24,0.0274
2020-06-23,0.0274
2020-06-22,0.0274
2020-06-19,0.0274
2020-06-18,0.0380
2020-06-17,0.0381
2020-06-16,0.0381
2020-06-15,0.0273
2020-06-12,0.0418
2020-06-11,0.0382
2020-06-10,0.0249
2020-06-09,0.0392
2020-06-08,0.0394
2020-06-05,0.0370
2020-06-04,0.0277
2020-06-03,0.0270
2020-06-02,0.0427
2020-06-01,0.0240
2020-05-29,0.0240
2020-05-28,0.0234
2020-05-27,0.0340
2020-05-26,0.0340
2020-05-22,0.0410
2020-05-21,0.0410
2020-05-20,0.0382
2020-05-19,0.0369
2020-05-18,0.0369
2020-05-15,0.0369
2020-05-14,0.0350
2020-05-13,0.0369
2020-05-12,0.0407
2020-05-11,0.0407
2020-05-08,0.0405
2020-05-07,0.0405
2020-05-06,0.0405
2020-05-05,0.0234
2020-05-04,0.0234
2020-05-01,0.0380
2020-04-30,0.0380
2020-04-29,0.0380
2020-04-28,0.0380
2020-04-27,0.0369
2020-04-24,0.0284
2020-04-23,0.0284
2020-04-22,0.0284
2020-04-21,0.0284
2020-04-20,0.0334
2020-04-17,0.0370
2020-04-16,0.0450
2020-04-15,0.0199
2020-04-14,0.0358
2020-04-13,0.0358
2020-04-09,0.0408
2020-04-08,0.0319
2020-04-07,0.0319
2020-04-06,0.0319
2020-04-03,0.0282
2020-04-02,0.0282
2020-04-01,0.0282
2020-03-31,0.0282
2020-03-30,0.0332
2020-03-27,0.0395
2020-03-26,0.0395
2020-03-25,0.0395
2020-03-24,0.0395
2020-03-23,0.0395
2020-03-20,0.0395
2020-03-19,0.0395
2020-03-18,0.0395
2020-03-17,0.0230
2020-03-16,0.0293
2020-03-13,0.0293
2020-03-12,0.0300
2020-03-11,0.0474
2020-03-10,0.0474
2020-03-09,0.0497
2020-03-06,0.0497
2020-03-05,0.0497
2020-03-04,0.0411
2020-03-03,0.0411
2020-03-02,0.0411
2020-02-28,0.0411
2020-02-27,0.0500
2020-02-26,0.0583
2020-02-25,0.0477
2020-02-24,0.0602
2020-02-21,0.0680
2020-02-20,0.0520
2020-02-19,0.0428
2020-02-18,0.0400
2020-02-14,0.0367
2020-02-13,0.0327
2020-02-12,0.0390
2020-02-11,0.0390
2020-02-10,0.0390
2020-02-07,0.0390
2020-02-06,0.0390
2020-02-05,0.0390
2020-02-04,0.0390
2020-02-03,0.0390
2020-01-31,0.0390
2020-01-30,0.0390
2020-01-29,0.0386
2020-01-28,0.0410
2020-01-27,0.0625
2020-01-24,0.0625
2020-01-23,0.0625
2020-01-22,0.0625
2020-01-21,0.0625
2020-01-17,0.0450
2020-01-16,0.0450
2020-01-15,0.0450
2020-01-14,0.0450
2020-01-13,0.0480
2020-01-10,0.0511
2020-01-09,0.0401
2020-01-08,0.0372
2020-01-07,0.0480
2020-01-06,0.0480
2020-01-03,0.0480
2020-01-02,0.0480
2019-12-31,0.0480
2019-12-30,0.0333
2019-12-27,0.0357
2019-12-26,0.0300
2019-12-24,0.0300
2019-12-23,0.0300
2019-12-20,0.0330
2019-12-19,0.0330
2019-12-18,0.0450
2019-12-17,0.0430
2019-12-16,0.0430
2019-12-13,0.0300
2019-12-12,0.0300
2019-12-11,0.0315
2019-12-10,0.0251
2019-12-09,0.0251
2019-12-06,0.0251
2019-12-05,0.0316
2019-12-04,0.0316
2019-12-03,0.0253
2019-12-02,0.0253
2019-11-29,0.0253
2019-11-27,0.0253
2019-11-26,0.0253
2019-11-25,0.0253
2019-11-22,0.0253
2019-11-21,0.0253
2019-11-20,0.0253
2019-11-19,0.0253
2019-11-18,0.0253
2019-11-15,0.0392
2019-11-14,0.0392
2019-11-13,0.0392
2019-11-12,0.0392
2019-11-11,0.0392
2019-11-08,0.0392
2019-11-07,0.0392
2019-11-06,0.0392
2019-11-05,0.0216
2019-11-04,0.0400
2019-11-01,0.0390
2019-10-31,0.0390
2019-10-30,0.0390
2019-10-29,0.0390
2019-10-28,0.0390
2019-10-25,0.0390
2019-10-24,0.0390
2019-10-23,0.0394
2019-10-22,0.0500
2019-10-21,0.0500
2019-10-18,0.0500
2019-10-17,0.0500
2019-10-16,0.0500
2019-10-15,0.0500
2019-10-14,0.0500
2019-10-11,0.0500
2019-10-10,0.0500
2019-10-09,0.0500
2019-10-08,0.0500
2019-10-07,0.0500
2019-10-04,0.0500
2019-10-03,0.0500
2019-10-02,0.0500
2019-10-01,0.0500
2019-09-30,0.0500
2019-09-27,0.0500
2019-09-26,0.0500
2019-09-25,0.0500
2019-09-24,0.0500
2019-09-23,0.0500
2019-09-20,0.0500
2019-09-19,0.0500
2019-09-18,0.0500
2019-09-17,0.0330
2019-09-16,0.0330
2019-09-13,0.0330
2019-09-12,0.0330
2019-09-11,0.0469
2019-09-10,0.0469
2019-09-09,0.0469
2019-09-06,0.0469
2019-09-05,0.0469
2019-09-04,0.0469
2019-09-03,0.0469
2019-08-30,0.0469
2019-08-29,0.0469
2019-08-28,0.0469
2019-08-27,0.0469
2019-08-26,0.0469
2019-08-23,0.0469
2019-08-22,0.0469
2019-08-21,0.0469
