,LULU
2020-04-07,194.70
2020-04-06,185.75
2020-04-03,179.10
2020-04-02,177.77
2020-04-01,181.53
2020-03-31,188.19
2020-03-30,183.03
2020-03-27,184.06
2020-03-26,189.05
2020-03-25,192.43
2020-03-24,180.10
2020-03-23,165.05
2020-03-20,162.60
2020-03-19,136.33
2020-03-18,128.85
2020-03-17,136.09
2020-03-16,138.29
2020-03-13,162.32
2020-03-12,167.33
2020-03-11,191.39
2020-03-10,197.11
2020-03-09,194.24
2020-03-06,212.24
2020-03-05,216.15
2020-03-04,221.24
2020-03-03,225.96
2020-03-02,216.49
2020-02-28,208.90
2020-02-27,220.21
2020-02-26,237.04
2020-02-25,237.05
2020-02-24,235.69
2020-02-21,253.80
2020-02-20,258.75
2020-02-19,259.81
2020-02-18,253.66
2020-02-14,253.15
2020-02-13,252.37
2020-02-12,250.78
2020-02-11,248.34
2020-02-10,244.02
2020-02-07,242.17
2020-02-06,242.79
2020-02-05,243.56
2020-02-04,247.66
2020-02-03,240.18
2020-01-31,239.30
2020-01-30,240.90
2020-01-29,238.77
2020-01-28,236.33
2020-01-27,231.84
2020-01-24,239.27
2020-01-23,241.50
2020-01-22,243.06
2020-01-21,240.00
2020-01-17,241.15
2020-01-16,241.79
2020-01-15,243.39
2020-01-14,243.45
2020-01-13,238.11
2020-01-10,233.26
2020-01-09,235.29
2020-01-08,234.01
2020-01-07,233.34
2020-01-06,230.80
2020-01-03,230.23
2020-01-02,231.77
2019-12-31,229.67
2019-12-30,227.53
2019-12-27,229.76
2019-12-26,229.31
2019-12-24,227.11
2019-12-23,227.07
2019-12-20,224.39
2019-12-19,222.27
2019-12-18,223.30
2019-12-17,221.46
2019-12-16,223.76
2019-12-13,218.81
2019-12-12,218.18
2019-12-11,228.00
2019-12-10,227.07
2019-12-09,230.23
2019-12-06,229.06
2019-12-05,226.28
2019-12-04,223.48
2019-12-03,220.90
2019-12-02,222.81
2019-11-29,225.57
2019-11-27,223.04
2019-11-26,220.25
2019-11-25,222.00
2019-11-22,215.11
2019-11-21,216.51
2019-11-20,215.33
2019-11-19,216.51
2019-11-18,213.96
2019-11-15,212.26
2019-11-14,210.00
2019-11-13,206.96
2019-11-12,206.67
2019-11-11,202.69
2019-11-08,202.27
2019-11-07,200.90
2019-11-06,194.29
2019-11-05,191.21
2019-11-04,194.15
2019-11-01,199.23
2019-10-31,203.15
