,CMCSA
2019-07-24,44.23
2019-07-23,43.95
2019-07-22,43.64
2019-07-19,44.02
2019-07-18,44.09
2019-07-17,44.35
2019-07-16,44.77
2019-07-15,44.48
2019-07-12,43.96
2019-07-11,43.75
2019-07-10,43.25
2019-07-09,42.36
2019-07-08,42.57
2019-07-05,42.87
2019-07-03,42.95
2019-07-02,42.46
2019-07-01,42.34
2019-06-28,41.86
2019-06-27,41.41
2019-06-26,41.94
2019-06-25,42.69
2019-06-24,43.43
2019-06-21,43.28
2019-06-20,43.31
2019-06-19,43.07
2019-06-18,42.95
2019-06-17,42.09
2019-06-14,41.70
2019-06-13,41.37
2019-06-12,41.25
2019-06-11,41.03
2019-06-10,41.12
2019-06-07,41.10
2019-06-06,40.81
2019-06-05,41.22
2019-06-04,41.25
2019-06-03,40.68
2019-05-31,40.77
2019-05-30,41.42
2019-05-29,41.75
2019-05-28,42.43
2019-05-24,42.63
2019-05-23,42.50
2019-05-22,43.08
2019-05-21,42.68
2019-05-20,42.41
2019-05-17,43.02
2019-05-16,42.41
2019-05-15,42.15
2019-05-14,42.27
2019-05-13,42.14
2019-05-10,42.22
2019-05-09,42.16
2019-05-08,42.36
2019-05-07,42.37
2019-05-06,42.70
2019-05-03,42.74
2019-05-02,42.36
2019-05-01,43.30
2019-04-30,43.04
2019-04-29,42.91
2019-04-26,42.87
2019-04-25,42.11
2019-04-24,41.74
2019-04-23,41.71
2019-04-22,41.86
2019-04-18,42.04
2019-04-17,41.89
2019-04-16,41.51
2019-04-15,41.26
2019-04-12,40.95
2019-04-11,40.85
2019-04-10,40.78
2019-04-09,40.57
2019-04-08,40.17
2019-04-05,40.31
2019-04-04,40.12
2019-04-03,39.97
2019-04-02,39.81
2019-04-01,39.97
2019-03-29,39.59
2019-03-28,40.12
2019-03-27,39.68
2019-03-26,39.21
2019-03-25,38.94
2019-03-22,39.35
2019-03-21,39.25
2019-03-20,38.90
2019-03-19,39.70
2019-03-18,39.88
2019-03-15,39.54
2019-03-14,39.37
2019-03-13,39.37
2019-03-12,38.97
2019-03-11,38.10
2019-03-08,37.89
2019-03-07,38.14
2019-03-06,38.45
2019-03-05,38.55
2019-03-04,38.38
2019-03-01,38.82
2019-02-28,38.52
2019-02-27,38.39
2019-02-26,38.41
2019-02-25,38.31
2019-02-22,38.41
2019-02-21,37.44
2019-02-20,37.53
2019-02-19,37.48
2019-02-15,37.15
2019-02-14,36.75
2019-02-13,36.79
2019-02-12,37.04
2019-02-11,36.90
2019-02-08,36.99
2019-02-07,37.09
2019-02-06,36.79
2019-02-05,36.57
2019-02-04,36.27
2019-02-01,36.48
2019-01-31,35.77
2019-01-30,35.25
2019-01-29,35.38
2019-01-28,34.67
2019-01-25,35.56
2019-01-24,35.44
2019-01-23,35.96
2019-01-22,34.83
2019-01-18,35.53
2019-01-17,35.74
2019-01-16,35.88
2019-01-15,35.57
2019-01-14,35.35
2019-01-11,35.31
2019-01-10,35.50
2019-01-09,35.51
2019-01-08,35.36
2019-01-07,35.27
2019-01-04,34.86
2019-01-03,34.13
2019-01-02,33.42
2018-12-31,33.30
2018-12-28,34.18
2018-12-27,33.11
2018-12-26,32.61
2018-12-24,33.03
2018-12-21,33.67
2018-12-20,34.23
2018-12-19,34.95
2018-12-18,35.23
2018-12-17,36.00
2018-12-14,36.18
2018-12-13,36.39
2018-12-12,36.83
2018-12-11,36.74
2018-12-10,36.71
2018-12-07,37.08
2018-12-06,36.98
2018-12-04,37.36
2018-12-03,38.68
2018-11-30,38.72
2018-11-29,38.64
2018-11-28,38.19
2018-11-27,37.62
2018-11-26,37.44
2018-11-23,37.20
2018-11-21,36.66
2018-11-20,36.61
2018-11-19,37.99
2018-11-16,38.31
2018-11-15,37.82
2018-11-14,37.77
2018-11-13,37.51
2018-11-12,37.57
2018-11-09,37.95
2018-11-08,37.91
2018-11-07,37.64
2018-11-06,37.53
2018-11-05,37.85
2018-11-02,37.01
2018-11-01,37.66
2018-10-31,37.32
2018-10-30,36.12
2018-10-29,35.42
2018-10-26,34.92
2018-10-25,35.05
2018-10-24,34.05
2018-10-23,35.05
2018-10-22,35.59
2018-10-19,35.78
2018-10-18,35.82
2018-10-17,35.79
2018-10-16,35.20
2018-10-15,34.51
2018-10-12,33.89
2018-10-11,33.51
2018-10-10,34.23
2018-10-09,34.99
2018-10-08,34.45
2018-10-05,34.41
2018-10-04,34.84
2018-10-03,35.01
2018-10-02,35.00
2018-10-01,34.99
2018-09-28,35.15
2018-09-27,35.18
2018-09-26,35.30
2018-09-25,35.29
2018-09-24,34.75
2018-09-21,37.48
2018-09-20,37.12
2018-09-19,37.29
2018-09-18,36.98
2018-09-17,36.72
2018-09-14,36.72
2018-09-13,36.08
2018-09-12,35.67
2018-09-11,36.22
2018-09-10,36.28
2018-09-07,35.75
2018-09-06,35.72
2018-09-05,36.15
2018-09-04,36.21
2018-08-31,36.58
2018-08-30,36.41
