,JPY
2019-06-19,108.2500
2019-06-18,108.0970
2019-06-17,108.5280
2019-06-14,108.1600
2019-06-13,108.1650
2019-06-12,108.2180
2019-06-11,108.3590
2019-06-10,108.3680
2019-06-07,107.8980
2019-06-06,108.0350
2019-06-05,107.8200
2019-06-04,107.8540
2019-06-03,108.0670
2019-05-31,108.5630
2019-05-30,109.4880
2019-05-29,109.1520
2019-05-28,109.2100
2019-05-27,109.3800
2019-05-24,109.2800
2019-05-23,109.5560
2019-05-21,110.0580
2019-05-20,109.8100
2019-05-17,109.5080
2019-05-16,109.3490
2019-05-15,109.1610
2019-05-14,109.1530
2019-05-13,109.0290
2019-05-10,109.5040
2019-05-09,109.4760
2019-05-08,109.9080
2019-05-07,110.3300
2019-05-06,110.2990
2019-05-03,111.1500
2019-05-02,111.3790
2019-05-01,111.1360
2019-04-30,111.2300
2019-04-29,111.5750
2019-04-26,111.4270
2019-04-25,111.4010
2019-04-24,111.6900
2019-04-23,111.6640
2019-04-22,111.8840
2019-04-19,111.8970
2019-04-18,111.7820
2019-04-17,111.9260
2019-04-16,111.8490
2019-04-15,111.8880
2019-04-12,111.6350
2019-04-11,110.9910
2019-04-10,110.8870
2019-04-09,110.9900
2019-04-08,111.2840
2019-04-05,111.6100
2019-04-04,111.3380
2019-04-03,111.2100
2019-04-02,111.2510
2019-04-01,110.8630
2019-03-29,110.5400
2019-03-28,110.0310
2019-03-27,110.2470
2019-03-26,110.0010
2019-03-25,109.7290
2019-03-22,109.7400
2019-03-21,110.3090
2019-03-20,111.3750
2019-03-19,111.1590
2019-03-18,111.4120
2019-03-15,111.3900
2019-03-14,111.1450
2019-03-13,111.1450
2019-03-12,111.1070
2019-03-11,110.8780
2019-03-08,110.8300
2019-03-07,111.4800
2019-03-06,111.6140
2019-03-05,111.7600
2019-03-04,111.6630
2019-03-01,111.3710
2019-02-28,110.6600
2019-02-27,110.3570
2019-02-26,110.6700
2019-02-25,110.5790
2019-02-22,110.6300
2019-02-21,110.5970
2019-02-20,110.5940
2019-02-19,110.4540
2019-02-18,110.4640
2019-02-15,110.2600
2019-02-14,110.5110
